SSN,Sentinel_site,Latitude,Longitude,xrpd_cluster,xrpd_cluster_subset,pH,TOC,K,Ca,Mn,Fe,Ni,Cu,Zn,m3.B,m3.Mg,m3.K,m3.Ca,m3.Mn,m3.Fe,m3.Cu,m3.Zn
icr006587,Pandambili,-6.05574989,36.45772171,7,TRUE,6.912,7518.36479,15931.55867,6799.654333,479.9883333,29673.08833,55.40966667,22.414,45.80233333,0.7719,880.4,1024,2191,279.1,114.9,3.407,2.132
icr006607,Pandambili,-6.12151,36.4836,3,FALSE,4.685,3807.68607,7876.192333,913.0866667,54.36066667,11897.18567,23.07233333,13.68266667,17.708,0.5006,121.5,329.4,238.5,11.22,89.31,1.448,1.728
icr006627,Pandambili,-6.09622,36.4863,2,FALSE,5.688,4578.10541,14464.58633,5961.455333,135.6593333,15934.05833,24.85133333,10.687,22.50266667,0.4847,205.8,474.2,501.3,38.54,116.5,0.9301,1.292
icr006647,Pandambili,-6.0698,36.4918,1,FALSE,4.677,4673.4949,12815.07167,1074.034333,112.613,16151.80033,26.177,12.94,20.518,0.4771,152.4,333.6,302,44.92,111.7,1.696,1.965
icr006667,Pandambili,-6.05854988,36.49095154,2,FALSE,4.554,3819.04831,7119.650667,695.5263333,124.4823333,16995.57533,27.58666667,13.507,16.87333333,0.4936,143.1,297.5,226.6,61.88,58.22,1.898,1.432
icr006685,Pandambili,-6.12214,36.5064,6,TRUE,6.38,6230.40358,10149.23533,7862.075,280.2753333,20807.78,23.21066667,15.57366667,20.98033333,0.6919,295.4,419.1,626.7,119.6,90.69,1.865,2.253
icr006705,Pandambili,-6.09060001,36.50844955,5,FALSE,5.757,4418.53424,12276.80933,6174.965667,249.2206667,22741.43633,24.98066667,13.14266667,27.227,0.5305,257.6,464.2,625.2,89.46,117.4,0.9912,2.882
icr006725,Pandambili,-6.07987,36.5067,1,TRUE,4.792,3940.55247,8137.565,912.899,80.98666667,12877.692,36.68233333,14.96333333,17.19,0.458,144,340.5,234.8,15.26,97.09,1.683,1.629
icr006745,Pandambili,-6.05373,36.5135,4,TRUE,4.945,2659.45812,26626.543,3580.268333,49.54833333,7165.112667,13.34166667,4.428666667,11.51566667,0.1316,76.7,200.1,117,12.61,113.6,0.5436,1.797
icr007731,Kiberashi,-5.38104677,37.44506836,4,TRUE,4.574,8375.57241,19363.75033,2645.709,186.4576667,21055.028,26.673,8.588333333,19.29666667,1.003,313.5,403.3,513.1,67.33,122.2,0.7151,1.209
icr007751,Kiberashi,-5.35250807,37.44896698,2,FALSE,5.594,7694.98825,16550.54233,8382.470333,184.9373333,10282.57333,6.595333333,7.175333333,13.30066667,0.3463,181.9,57.62,704,60.57,124,1.116,0.989
icr007771,Kiberashi,-5.33404493,37.45391846,2,FALSE,5.233,3043.49907,13223.49233,6162.111,34.96133333,5415.740667,4.094333333,2.776666667,10.66466667,0.473,344.6,192.8,772.3,22.01,217.8,0.1983,1.808
icr007791,Kiberashi,-5.31900215,37.45064163,6,TRUE,4.966,8980.86071,18073.52733,4660.312333,271.8843333,26968.82267,20.01166667,16.64233333,36.04,0.7119,405.6,275.8,694.9,63.32,108.5,2.17,1.534
icr007811,Kiberashi,-5.38245487,37.46924591,4,FALSE,6.05,9121.86325,17921.26467,4901.981667,184.277,29622.71667,29.43033333,14.25766667,31.16833333,0.9594,373.3,426,1056,48.7,84.35,1.257,2.424
icr007831,Kiberashi,-5.35331202,37.46604919,4,FALSE,5.809,11484.07638,6745.483,9868.732,132.8133333,30096.77633,21.42866667,11.56333333,23.20466667,0.768,516.8,67.56,1220,13.41,74.36,1.107,2.902
icr007851,Kiberashi,-5.33592987,37.46857452,2,FALSE,4.491,2998.74321,21832.86067,4745.987,35.09733333,3729.459667,1.055666667,1.794333333,10.187,0.0354,54.46,67.66,42.61,4.867,166.9,0.1947,1.092
icr007871,Kiberashi,-5.30757999,37.47093964,1,FALSE,4.914,3379.46504,11242.32967,3319.573667,29.81433333,4230.401,2.234666667,3.250666667,11.254,0.1411,104.4,121.4,29.26,2.77,263.5,0.111,1.027
icr007891,Kiberashi,-5.3817668,37.49669647,4,FALSE,6.228,16331.11596,8443.425667,8456.492333,470.1176667,32684.36733,25.692,17.99733333,34.11733333,0.8714,357.2,402,1885,133.8,120.3,0.9395,2.864
icr007911,Kiberashi,-5.36247683,37.49689102,7,FALSE,5.537,6211.08741,34348.05467,3243.586333,195.462,20853.863,9.345666667,9.575333333,25.39433333,0.2109,268,243.9,469.4,34.87,137.4,0.8815,1.153
icr007929,Kiberashi,-5.33933687,37.49335098,2,FALSE,7.114,5323.88955,14487.104,7691.506,146.361,11319.63367,12.71566667,7.412333333,19.65433333,0.6142,428.5,72.57,2518,35.82,260.4,0.2496,2.742
icr007950,Kiberashi,-5.31183291,37.49250793,1,FALSE,5.693,8000.92667,19266.61933,2021.793667,415.8926667,7571.865333,6.935666667,7.083333333,15.25166667,0.2782,337.6,115,1055,214.9,148.8,1.826,1.248
icr007968,Kiberashi,-5.37793303,37.51511383,3,FALSE,6.046,11928.34854,8562.261667,2607.968667,194.8306667,32531.47433,40.098,12.07166667,28.892,0.9378,460.8,443.8,1451,125.1,109.8,1.34,3.73
icr007988,Kiberashi,-5.35679007,37.50985718,2,FALSE,6.012,7683.63267,12933.881,3273.516333,139.7976667,24989.32133,34.81,12.52033333,26.50066667,0.5529,328.4,449.1,684.8,33.39,103.3,1.067,4.141
icr008008,Kiberashi,-5.33370018,37.51532745,2,FALSE,5.65,10875.94569,10145.94233,3732.179333,169.4453333,19297.68833,15.26333333,11.537,22.254,0.3603,222.5,274.6,734.3,29.11,134.1,1.369,0.98
icr008028,Kiberashi,-5.30851889,37.51255035,1,FALSE,5.441,3383.27602,15169.79433,4529.128667,117.1286667,5069.921333,7.065,3.344666667,11.40066667,0.1522,119.9,86.66,62.01,23.69,151,0.2673,1.731
icr009919,Mbinga,-11.12269974,35.12689972,5,TRUE,5.722,28712.61994,2683.341,1696.153667,1496.314333,37704.68867,46.86766667,29.668,69.578,0.2502,171.7,118.9,1194,156.3,149.3,3.342,2.971
icr009939,Mbinga,-11.09962845,35.13019943,7,FALSE,5.185,12849.41713,864.7803333,211.9623333,809.832,49892.23367,26.57266667,33.897,33.66066667,0.1308,53.95,50.75,200.5,170.5,71.42,1.841,1.872
icr009959,Mbinga,-11.07450008,35.12540054,7,FALSE,5.06,12257.68209,1314.584333,166.8233333,734.4786667,50507.15,36.12866667,29.85433333,39.36933333,0.1054,37.43,46.48,133.4,172.6,135,1.704,1.399
icr009979,Mbinga,-11.05970001,35.12659836,7,FALSE,5.322,7481.03619,2692.212333,128.214,1251.425333,46308.093,54.945,53.87533333,45.34733333,0.0662,102.2,135,133.3,447,99.97,2.543,1.501
icr009999,Mbinga,-11.12320042,35.14569855,7,FALSE,5.201,24265.84721,490.323,123.9646667,1610.977667,69093.42767,34.53766667,44.12666667,49.374,0.0067,25.31,23.2,124,207.4,88.69,2.015,0.844
icr010019,Mbinga,-11.10610008,35.14979935,7,TRUE,4.932,16912.97174,428.8963333,119.1896667,980.516,57185.98667,41.02833333,35.913,39.26133333,0.1159,28.7,22.81,109,144.1,91.57,1.691,1.308
icr010039,Mbinga,-11.07940006,35.15179825,9,FALSE,6.376,9939.13372,4430.878,1473.122667,1153.040667,76047.313,129.1026667,51.49733333,70.68133333,0.1184,225.9,264,1011,455.3,108,2.881,2.699
icr010059,Mbinga,-11.05710316,35.15173721,7,FALSE,5.069,27828.66557,450.972,173.0646667,1105.9,61492.633,38.72,33.302,51.70166667,0.0452,27.39,29.41,122.9,107.2,92.62,1.405,0.874
icr010079,Mbinga,-11.11730003,35.17409897,7,FALSE,5.354,20182.79592,603.963,222.5436667,1226.125,67758.12267,42.36533333,56.212,44.884,0.01,43.13,35.35,189.3,247.8,83.89,2.874,0.991
icr010099,Mbinga,-11.10509968,35.17229843,9,FALSE,5.387,20005.97239,503.7296667,328.7306667,1634.808333,75834.396,71.633,62.55033333,48.80533333,0.0306,46.4,39.38,265.2,312.4,74.79,3.188,1.371
icr010119,Mbinga,-11.07940006,35.16930008,9,FALSE,5.214,17267.5697,444.7973333,171.6363333,1867.943333,68961.648,109.5193333,52.26366667,42.25366667,0.0044,28.04,23.27,143.5,331.3,119.3,3.027,1.444
icr010139,Mbinga,-11.05809975,35.16949844,7,FALSE,5.165,15342.07821,814.795,144.062,1059.747,55668.20567,32.04933333,36.28366667,42.73133333,0.1487,179.5,212.5,727,686.6,117.5,4.141,4.246
icr010159,Mbinga,-11.12909985,35.20069885,7,FALSE,6.134,5539.92271,3408.882667,699.9876667,1372.172333,57322.29633,37.06433333,45.626,56.81666667,0.1379,138,151.7,612.8,442.5,177.3,3.367,2.492
icr010179,Mbinga,-11.09879971,35.19520187,7,TRUE,6.055,3816.25324,1863.935,419.659,1280.017,59520.735,23.656,27.33533333,60.83466667,0.0343,148.9,137.2,424,410.5,136,1.794,2.686
icr010199,Mbinga,-11.08710003,35.19179916,5,TRUE,5.559,15619.95308,1397.431333,366.5156667,1554.860667,51576.37233,26.76633333,28.145,50.88433333,0.01,80.32,96.69,279.9,330.7,82.02,1.709,1.262
icr010219,Mbinga,-11.0614996,35.19319916,6,FALSE,6.263,6350.63589,5922.94,619.099,1331.952333,50475.51167,42.781,37.75766667,64.235,0.1794,161.7,231.2,529,612.4,117.3,3.087,3.454
icr010336,Kontela,14.77008,-11.03315333,5,FALSE,7.12,4569.19591,7637.064333,3134.017333,293.556,25842.862,22.725,22.59333333,20.057,0.14,788,78,2055,78,156,2.49,0.92
icr010356,Kontela,14.80026667,-11.03579167,5,TRUE,6.51,3582.13296,11221.877,3105.143,318.088,27581.65533,24.39333333,22.95233333,21.24733333,0.13,630,145,2244,63,144,2.83,1.3
icr010376,Kontela,14.82152167,-11.03285833,6,FALSE,5.91,4041.26167,9521.685667,1501.227667,227.1146667,21569.11167,15.72766667,13.854,12.898,0.08,334,81,1131,80,141,1.57,0.9
icr010396,Kontela,14.83678,-11.03356833,6,FALSE,7.74,6891.72089,11682.114,3050.769333,268.7036667,22292.979,17.26733333,13.60333333,14.51533333,0.65,370,183,2233,104,110,1.51,1.36
icr010416,Kontela,14.76583,-11.011,7,FALSE,6.2,3239.13803,13821.993,2535.948667,244.6823333,27952.522,27.402,25.212,38.44533333,0.12,747,165,1854,45,280,3.7,3.26
icr010436,Kontela,14.80017167,-11.01175833,5,TRUE,5.96,2590.41548,11486.264,1488.742667,193.805,26857.936,21.82933333,16.477,18.26433333,0.12,555,148,1205,55,107,1.09,1.01
icr010456,Kontela,14.82445833,-11.00853333,7,TRUE,7.13,5202.07783,16252.59767,2328.616333,1000.640333,55279.66433,31.04433333,24.246,21.94833333,0.14,726,108,1490,189,129,2.14,1.15
icr010476,Kontela,14.83877,-11.01125167,5,TRUE,7.59,2892.23015,9947.548,1622.465333,216.0723333,25346.437,19.19433333,14.47233333,13.92733333,0.2,452,67,1249,79,114,1.42,2.03
icr010496,Kontela,14.77771167,-10.98879,6,TRUE,7.98,2737.58352,10292.98933,8976.673333,530.093,20674.70833,17.56766667,16.94266667,18.79566667,0.11,554,106,4838,148,90,1.19,0.95
icr010516,Kontela,14.80662167,-10.98228,5,TRUE,4.77,3118.20676,10485.483,1043.1895,127.315,28468.9,24.47,16.2295,20.173,0.001190596,334,130,871,18,65,0.95,0.73
icr010536,Kontela,14.82578833,-10.99383,7,TRUE,7.87,4055.90882,17352.6765,4255.789,661.913,45104.217,32.7355,22.046,24.361,0.43,911,64,2135,118,111,1.54,1.34
icr010556,Kontela,14.83955333,-10.99074667,5,TRUE,6.85,3649.98668,13106.9865,1832.595,223.403,23843.748,19.256,14.3115,19.1,0.11,435,73,1190,74,145,1.45,1.39
icr010576,Kontela,14.77818833,-10.964785,5,TRUE,6.24,2341.37177,9469.258333,1619.216,279.3666667,20329.86267,16.914,13.50833333,16.025,0.08,467,81,1621,112,120,1.32,2.04
icr010596,Kontela,14.79109833,-10.95833333,6,FALSE,6.14,3880.32983,11751.26467,1661.540667,270.858,18101.69367,14.28066667,12.789,15.323,0.03,410,81,1203,115,111,1.64,2.53
icr010616,Kontela,14.82136667,-10.96745667,5,FALSE,7.13,4338.15519,11312.23667,2321.661667,238.805,22973.91733,17.08933333,12.531,15.041,0.21,937,65,1845,64,161,1.66,4.39
icr010636,Kontela,14.84399167,-10.96401,5,FALSE,5.85,4011.83754,9923.181,1238.044,186.8936667,19645.31567,16.69366667,11.975,14.94966667,0.02,386,102,869,40,110,1.01,1.02
icr010688,Koloko,12.45030667,-6.327395,5,TRUE,6.66,6528.84483,7017.381667,1959.286667,307.8513333,31066.475,21.04933333,14.803,17.727,0.06,990,109,1360,52,163,1.54,1.51
icr010708,Koloko,12.47221667,-6.326855,5,FALSE,6.89,4762.63235,5294.878,1718.394,142.573,16172.28933,22.91166667,14.15033333,15.594,0.11,339,63,1530,48,158,2.08,1.72
icr010728,Koloko,12.49274333,-6.33263,9,FALSE,5.92,5195.26958,2140.954333,253.6193333,219.1823333,75579.36767,27.827,21.754,17.516,0.000916123,77,44,187,21,61,0.56,2.29
icr010748,Koloko,12.51337,-6.32173,5,FALSE,7.08,4415.33277,5497.566333,1494.346667,184.9713333,14607.17667,28.813,14.13433333,19.923,0.12,295,162,1428,62,121,1.78,1.25
icr010768,Koloko,12.45235333,-6.309545,7,FALSE,6.22,3514.35751,3508.017667,684.54,170.76,28868.16133,26.143,15.49533333,19.39533333,0.05,207,58,621,36,55,0.78,0.77
icr010788,Koloko,12.46614167,-6.312131667,7,FALSE,6.98,5743.5296,5047.993333,2229.320667,136.032,18929.067,53.31233333,18.27566667,28.197,0.08,841,77,1798,16,63,1.87,0.97
icr010809,Koloko,12.49110333,-6.314946667,9,FALSE,5.66,4936.53933,2666.793667,315.7306667,303.808,74599.84767,24.31966667,27.52233333,19.44733333,0.001026635,112,48,248,38,70,0.69,0.91
icr010827,Koloko,12.51964667,-6.302163333,7,FALSE,5.74,3906.23093,4951.344,962.877,299.371,28423.02633,37.18833333,16.25866667,22.08933333,0.01,212,54,919,63,80,0.72,0.65
icr010846,Koloko,12.45190833,-6.288508333,5,FALSE,5.63,3944.27101,2156.232,412.3673333,137.3006667,17243.59767,24.09033333,19.39366667,16.74366667,0.000923591,141,50,380,10,155,2.07,1.18
icr010866,Koloko,12.47088667,-6.281816667,9,FALSE,4.8,11054.82181,4727.433667,1653.021333,239.2336667,29490.15367,71.726,31.544,38.32033333,0.000999823,122,60,551,4,42,0.55,0.82
icr010886,Koloko,12.49784667,-6.286193333,5,FALSE,5.71,5004.9295,3553.234,638.0783333,78.96566667,16355.86033,37.23433333,15.26566667,21.707,0.02,352,100,1325,27,55,1.08,1.37
icr010906,Koloko,12.51425667,-6.280505,7,FALSE,5.4,8277.88194,4054.100333,1127.519,155.5393333,32553.08367,65.609,28.86266667,33.227,0.03,219,71,963,14,36,0.68,0.66
icr010926,Koloko,12.44838333,-6.263188333,5,FALSE,6.14,7377.32013,4158.294,1320.025333,85.618,9923.888667,27.295,17.408,21.435,0.001177008,409,124,1144,26,167,4.74,1.75
icr010946,Koloko,12.47028667,-6.265613333,6,FALSE,7.01,4311.62655,3550.513,1325.86,202.4273333,14463.39367,19.62033333,13.62833333,17.191,0.05,246,58,1148,90,132,2,2.23
icr010966,Koloko,12.49387,-6.255561667,7,FALSE,5.71,9182.85767,4358.815333,1253.949667,174.1253333,29092.62833,77.385,29.799,43.27766667,0.001085177,188,60,912,7,47,0.64,0.64
icr010986,Koloko,12.51692167,-6.259611667,7,FALSE,5.7,7102.72213,4464.727667,1197.48,159.133,28773.08933,58.081,25.995,28.262,0.001097475,254,59,932,12,60,0.74,0.96
icr011038,Bondigui,10.88517333,-3.581576667,9,TRUE,7.12,33430.5342,2477.904667,31923.27133,1421.319667,92778.87867,30.30866667,62.593,73.23166667,0.445,954,79.7,4240,272,126,4.56,3.17
icr011068,Bondigui,10.90327833,-3.576025,9,FALSE,6.39,9842.29565,2275.860333,5904.575333,1431.647667,88526.71567,41.88,65.34066667,32.56066667,0.098,686,52.5,2320,99.3,77.1,2.05,1.5
icr011078,Bondigui,10.92339333,-3.57667,7,FALSE,6.22,9771.34486,3711.968,1918.256,1198.472,96372.041,47.86633333,58.38066667,52.36,0.084,231,45.5,1190,195,142,4.53,1.84
icr011098,Bondigui,10.94759,-3.585211667,3,FALSE,6.5,2157.24871,4253.714333,389.5346667,82.778,6515.232333,3.916,4.612,6.758333333,0.028,53,44.9,320,48.1,59.5,0.546,1.88
icr011112,Bondigui,10.87761667,-3.558683333,9,FALSE,6.58,9302.23942,2565.268667,4510.944333,1898.578,153553.4223,23.38166667,56.84133333,48.90833333,0.129,369,43.1,1540,316,158,1.88,2.08
icr011134,Bondigui,10.90319167,-3.555051667,9,TRUE,6.41,8080.31778,1512.515,2665.182333,3863.570667,177905.8757,56.32666667,114.1186667,38.35066667,0.091,406,40,1290,291,113,2.45,2.27
icr011145,Bondigui,10.92799833,-3.564085,9,FALSE,7.69,15094.94305,2353.977333,4185.312667,1001.779333,108330.2997,37.152,60.892,31.19,0.436,200,72.5,2430,246,92.3,4.68,1.53
icr011165,Bondigui,10.94325667,-3.550565,9,FALSE,5.61,12943.98626,2059.840667,334.3523333,155.9753333,170565.6643,8.876333333,36.473,13.52,0.02,32.1,29.6,157,3.26,186,0.911,1.33
icr011183,Bondigui,10.88015667,-3.540295,6,FALSE,6.35,7165.57622,2411.428667,568.2156667,151.3483333,23287.05967,6.510666667,12.81666667,10.906,0.052,125,77,478,77.9,131,1.01,2.63
icr011203,Bondigui,10.90277,-3.530618333,7,TRUE,6.23,2943.6788,4815.556333,511.2933333,372.7216667,61557.743,7.847,21.49233333,13.78833333,0.017,88.9,50.8,453,61.8,81.6,0.612,1.5
icr011223,Bondigui,10.924675,-3.533448333,7,FALSE,6.77,3502.43807,4454.333667,671.919,379.5513333,66840.00967,8.880333333,47.566,21.558,0.052,101,76.3,548,97.2,128,1.44,2.78
icr011242,Bondigui,10.94154333,-3.539666667,9,FALSE,6.35,6371.72778,2794.042,1166.814667,1329.136333,120732.051,28.02233333,39.29966667,43.16966667,0.068,148,47.1,784,210,93.6,1.42,2.02
icr011264,Bondigui,10.87681333,-3.50814,7,FALSE,6.98,6595.34752,6619.277333,2271.405667,936.6686667,28893.166,14.27633333,20.07066667,18.93266667,0.02,328,116,1630,92.4,176,2.31,1.65
icr011282,Bondigui,10.89882833,-3.513665,5,FALSE,6.46,5010.2965,2277.613,693.4366667,172.8276667,36607.98967,7.869666667,15.005,9.921,0.027,99.3,63.1,524,56.4,59.7,0.913,1.86
icr011302,Bondigui,10.92729667,-3.511266667,5,FALSE,7.12,3233.10882,3694.423,694.772,210.1786667,44328.044,5.12,17.44333333,7.995666667,0.078,75.5,55,466,52.3,52.1,0.674,1.13
icr011322,Bondigui,10.950885,-3.513765,9,FALSE,5.81,8551.657,1620.954667,754.2103333,1006.166,180299.415,15.27233333,82.27333333,37.72666667,0.028,74.1,31.7,401,65.8,81.9,1.62,1.27
icr011825,Bukwaya,-3.06374502,33.01008606,1,TRUE,6.661,1426.50445,16904.19,543.625,186.539,5954.075,2.457,3.541,6.863,0.1089,91.88,103.6,452,110.5,89.42,0.7977,1.047
icr011844,Bukwaya,-3.0296979,33.01520157,1,TRUE,5.87,1791.76177,12703.578,396.087,42.834,3590.516,1.989,3.064,5.145,0.0117,57.76,40.89,238.4,19.65,203.8,0.4785,0.761
icr011864,Bukwaya,-3.00909805,33.01538086,1,FALSE,6.144,2400.63931,5745.18,816.242,75.76,4906.422,2.358,3.887,6.725,0.0423,90.28,28.98,658.1,57.5,210.6,0.8944,0.484
icr011882,Bukwaya,-2.99281502,33.01611328,1,FALSE,5.697,937.70988,29697.559,293.811,36.724,2198.353,0.92,1.772,3.845,0.0151,36.94,37.33,150.4,13.38,96.86,0.2186,0.444
icr011902,Bukwaya,-3.06098199,33.03066254,1,FALSE,7.881,4659.84176,17785.711,2183.225,121.971,4310.58,2.369,3.883,11.007,0.8842,278.8,174.8,1725,102.9,118.1,1.262,4.456
icr011922,Bukwaya,-3.03815293,33.04239655,1,FALSE,7.238,3656.16024,12339.241,4410.432,209.088,12120.316,6.958,9.656,21.272,0.1736,286.8,78.85,3178,131.3,119.9,2.54,0.652
icr011942,Bukwaya,-3.00733495,33.04496384,2,FALSE,6.871,2177.21214,34568.211,2769.684,73.308,5563.554,2.713,2.966,8.385,0.0644,126.6,38.26,701.5,27.71,125.4,0.7965,0.907
icr011961,Bukwaya,-2.98746705,33.03326416,2,FALSE,8.097,3193.67687,31938.695,2093.179,62.832,4621.592,1.559,3.11,9.361,0.3977,179.6,279.9,1020,40.07,168,1.036,2.904
icr011979,Bukwaya,-3.05848002,33.06501389,7,FALSE,6.184,7857.91337,5250.303,3331.07,1793.631,77460.951,56.094,67.027,36.932,0.2188,588.9,50.47,1298,298.7,90.13,10.28,0.402
icr011991,Bukwaya,-3.03098702,33.06267166,2,FALSE,8.586,4650.04226,7033.38,12579.993,342.065,19914.875,15.646,15.648,28.02,0.5746,484.6,71.14,6639,163.4,67.21,3.335,1.008
icr012009,Bukwaya,-3.01006794,33.06552124,2,FALSE,8.007,5105.42492,11776.165,8718.638,296.735,13641.619,6.855,10.055,19.33,0.6879,299.2,72.24,5050,139.9,62.97,2.353,1.084
icr012028,Bukwaya,-2.98789811,33.06058121,2,FALSE,8.189,4798.16854,12572.034,19088.684,560.282,11338.712,9.257,9.988,22.736,0.8537,422.7,240.5,8049,292.2,30.75,2.694,1.449
icr012044,Bukwaya,-3.06005502,33.08431244,5,TRUE,4.947,6590.25609,6442.176,832.716,181.31,31423.342,31.613,23.536,25.99,0.2623,256.9,118.4,783.8,43.47,65.63,3.189,0.786
icr012064,Bukwaya,-3.03619504,33.09140778,5,FALSE,8.09,8528.51868,6635.823,14187.615,568.248,30028.095,20.636,24.153,36.265,0.6785,1656,278.5,7214,251.4,115.4,4.236,0.775
icr012084,Bukwaya,-3.0151,33.08854294,1,FALSE,7.138,4013.04682,14277.446,1545.541,111.024,3945.008,1.923,3.983,21.118,0.3344,208.7,242.4,1158,83.36,118.2,0.6522,17.05
icr012088,Bukwaya,-2.99145794,33.07735062,3,FALSE,6.55,5047.57096,6322.916,2552.934,576.661,37148.847,22.495,25.618,25.909,0.3095,455.6,67.24,1212,252,97.65,3.917,1.519
